,gbrt_minimize,dummy_minimize,gp_minimize,forest_minimize,hyperopt_minimize,gpyopt_minimize
McCourt26_3_r,-1.311<-1.303<-1.294,-1.325<-1.306<-1.29,-1.48<-1.477<-1.474,-1.443<-1.44<-1.436,-1.366<-1.343<-1.322,-1.508<-1.508<-1.508
McCourt28_4_r,-7.613<-7.592<-7.577,-7.242<-7.208<-7.178,-7.694<-7.694<-7.694,-7.582<-7.545<-7.514,-7.474<-7.432<-7.394,-7.69<-7.69<-7.69
Michalewicz_4_20_r,-3.288<-3.247<-3.214,-1.412<-1.357<-1.291,-2.523<-2.463<-2.397,-2.952<-2.921<-2.893,-2.109<-2.042<-1.971,-2.9<-2.9<-2.9
Michalewicz_4_r,-2.664<-2.624<-2.577,-2.079<-2.032<-1.989,-2.801<-2.757<-2.709,-2.717<-2.687<-2.652,-2.058<-1.997<-1.935,-3.03<-2.998<-2.982
Michalewicz_8_r,-3.751<-3.686<-3.634,-3.13<-3.073<-3.024,-4.302<-4.212<-4.133,-3.057<-3.011<-2.958,-2.983<-2.898<-2.81,-4.493<-4.472<-4.462
Mishra06_2_r,-0.187<-0.062<0.094,-1.469<-1.427<-1.391,-2.281<-2.262<-2.247,-1.304<-1.178<-1.082,-1.711<-1.659<-1.606,-2.248<-2.244<-2.242
Ned01_2_r,-0.065<-0.058<-0.052,0.146<0.159<0.173,-0.028<-0.021<-0.014,-0.123<-0.116<-0.109,0.078<0.096<0.114,0.068<0.068<0.069
OddSquare_2_r,-0.996<-0.972<-0.954,-0.472<-0.442<-0.414,-0.565<-0.535<-0.505,-0.159<-0.138<-0.114,-0.565<-0.514<-0.464,-0.287<-0.285<-0.283
Parsopoulos_2_ri,0.092<0.096<0.098,0.09<0.094<0.096,0.081<0.082<0.083,0.154<0.16<0.168,0.101<0.11<0.119,0.08<0.08<0.08
Pinter_2_ri,10.536<10.963<11.496,0.058<0.588<0.982,0.0<0.0<0.0,10.45<11.34<12.16,0.367<1.011<1.538,3.389<3.389<3.389
Plateau_2_r,30.0<30.0<30.0,30.011<30.069<30.115,30.0<30.0<30.0,30.0<30.0<30.0,30.0<30.0<30.0,30.0<30.0<30.0
Problem03_1_r,-12.064<-11.965<-11.899,-11.249<-11.189<-11.129,-12.031<-12.031<-12.031,-5.554<-4.987<-4.366,-11.682<-11.527<-11.385,-12.031<-12.031<-12.031
RosenbrockLog_11_r,6.168<6.199<6.233,7.282<7.32<7.364,5.026<5.068<5.105,5.946<5.98<6.019,6.389<6.476<6.568,4.8<4.8<4.8
